district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
CA-9,8.710836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.35144582,0.43855418,0.0,0.0,house,baseline,None,0.17485874293714684,0.7129106455322767,0.039654927800824524,0.664233211660583,0.04139522340377152,0.855542777138857,0.030814956889518862,0.8224161208060403,0.033497982074223775
CA-10,34.2542,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.223729,0.566271,0.0,0.0,house,baseline,None,0.16100805040252011,0.7463873193659682,0.03813631074102145,0.6991849592479624,0.04019915104275868,0.8698934946747338,0.02948856348002854,0.8459172958647931,0.03164550039857094
CA-11,71.46574,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.0376713,0.7523287000000001,0.0,0.0,house,baseline,None,0.136106805340267,0.7893144657232862,0.0357448483764907,0.7449122456122805,0.03820924280516049,0.88074403720186,0.028407693690417544,0.8634181709085454,0.030100805919386162
CA-12,76.76467,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.01117665,0.7788233499999999,0.0,0.0,house,baseline,None,0.13290664533226662,0.787664383219161,0.03584702321846041,0.7428621431071554,0.03830965073809593,0.8800690034501725,0.028477060175907714,0.8666933346667334,0.02979406286868252
CA-13,7.451671,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.357741645,0.432258355,0.0,0.0,house,baseline,None,0.1775588779438972,0.7168858442922146,0.039489066186583384,0.675458772938647,0.04103981831602175,0.8628181409070453,0.030156368741910116,0.8256162808140407,0.033259304355580985
CA-14,41.99284,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1850358,0.6049642000000001,0.0,0.0,house,baseline,None,0.15645782289114454,0.7567628381419071,0.03760676112502325,0.7136856842842142,0.039622884960087444,0.8746187309365467,0.02902664134849971,0.8538176908845442,0.030967136796170334
CA-15,54.17324,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1241338,0.6658662,0.0,0.0,house,baseline,None,0.14895744787239362,0.7710635531776588,0.03682761767513179,0.7304115205760289,0.03889605369709198,0.8781439071953598,0.028673290834107815,0.8636681834091704,0.03007759730587394
CA-16,49.6167,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1469165,0.6430835,0.0,0.0,house,baseline,None,0.15050752537626882,0.7674133706685334,0.037032081405814696,0.726986349317466,0.03905048017256408,0.872243612180609,0.029260468805592212,0.8612430621531076,0.030301302074256103
CA-17,45.6632,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.166684,0.623316,0.0,0.0,house,baseline,None,0.14760738036901844,0.7674633731686584,0.037029306835566725,0.7218610930546527,0.039276136290139985,0.8746437321866094,0.029024162045513717,0.8512925646282314,0.0311872320142789
CA-18,41.7609,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.1861955,0.6038045000000001,0.0,0.0,house,baseline,None,0.15555777788889444,0.7612130606530327,0.037370548249794966,0.7211610580529026,0.03930645850843794,0.8815690784539227,0.02832251385007458,0.8501425071253563,0.031286441255686796
CA-19,35.66684,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2166658,0.5733342,0.0,0.0,house,baseline,None,0.15780789039451973,0.7523126156307816,0.0378374783061883,0.7130356517825891,0.03964976922517583,0.868468423421171,0.02962532329102689,0.8475173758687935,0.03151051877705408
CA-20,-30.45263,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.54726315,0.24273685,0.0,0.0,house,baseline,None,0.1975598779938997,0.6740587029351468,0.04108559909675467,0.6194809740487024,0.04255721933449078,0.8488424421221061,0.03139782363560167,0.8044402220111005,0.034766240134181586
CA-21,16.22807,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.31385965,0.47614035,0.0,0.0,house,baseline,None,0.1607080354017701,0.7369118455922796,0.03859486136078788,0.6916345817290864,0.04048016305075182,0.8691434571728587,0.02956068699453673,0.8413170658532927,0.03202698302359809
CA-22,10.3146,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.343427,0.446573,0.0,0.0,house,baseline,None,0.17225861293064654,0.7175858792939647,0.039459467029411346,0.6739836991849593,0.04108803985494251,0.8599429971498576,0.030419937365640665,0.8292164608230411,0.0329858766935177
CA-23,-15.2223,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.4711115,0.3188885,0.0,0.0,house,baseline,None,0.18675933796689834,0.696234811740587,0.040310476997838206,0.6424571228561429,0.04201043792286929,0.8547677383869193,0.03088351193352946,0.8073903695184759,0.034566216890194276
CA-24,23.94737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.27526315,0.51473685,0.0,0.0,house,baseline,None,0.16350817540877044,0.7350867543377169,0.038680511155333365,0.6886844342217111,0.04058650181376547,0.8627431371568578,0.030163300449964722,0.8380669033451673,0.03229075687135871
CA-25,12.1035,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3344825,0.4555175,0.0,0.0,house,baseline,None,0.17250862543127157,0.7232111605580279,0.03921732039814711,0.6741087054352718,0.041083971259600914,0.8626431321566079,0.0301725380218687,0.8278913945697285,0.033087126067494074
CA-26,15.22424,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.3188788,0.4711212,0.0,0.0,house,baseline,None,0.17170858542927148,0.728336416820841,0.03898996040168123,0.6778588929446472,0.04096036250993534,0.868368418420921,0.029634877001396918,0.8334166708335417,0.03266013153620919
CA-27,7.75737,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.35621315,0.43378685,0.0,0.0,house,baseline,None,0.16775838791939596,0.7189359467973399,0.03940205029918461,0.6620831041552078,0.04146028425184319,0.8651932596629832,0.02993528771548316,0.8287164358217911,0.03302416846247267
CA-28,30.3726,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.243137,0.546863,0.0,0.0,house,baseline,None,0.1616580829041452,0.7401870093504676,0.03843901316089402,0.6981349067453373,0.04023900131994803,0.8665933296664834,0.02980351672545198,0.8387169358467923,0.03223837616390575
