district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
CA-29,50.88554,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.14057230000000004,0.6494276999999999,0.0,1.0,house,right_only
CA-30,44.7397,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.17130150000000002,0.6186985,0.0,1.0,house,right_only
CA-31,29.31257,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.24843715000000002,0.54156285,0.0,1.0,house,right_only
CA-32,38.44873,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.20275635000000003,0.58724365,0.0,1.0,house,right_only
CA-33,23.13004,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2793498,0.5106502,0.0,1.0,house,right_only
CA-34,63.6506,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.07674700000000001,0.713253,0.0,1.0,house,right_only
CA-35,26.4464,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.262768,0.527232,0.0,1.0,house,right_only
CA-36,40.48007,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.19259965000000004,0.59740035,0.0,1.0,house,right_only
CA-37,72.13327,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.03433365000000005,0.75566635,0.0,1.0,house,right_only
CA-38,28.38617,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.25306915,0.5369308500000001,0.0,1.0,house,right_only
CA-39,23.33524,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.2783238,0.5116762,0.0,1.0,house,right_only
CA-40,-3.841196,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.41420598000000003,0.37579402,0.0,1.0,house,right_only
CA-41,-6.348963,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.426744815,0.36325518500000004,0.0,1.0,house,right_only
CA-42,43.72557,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.17637215000000003,0.61362785,0.0,1.0,house,right_only
CA-43,63.03647,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.07981765000000002,0.71018235,0.0,1.0,house,right_only
CA-44,47.29814,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.15850930000000005,0.6314907,0.0,1.0,house,right_only
CA-45,4.789704,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.37105148,0.41894852000000005,0.0,1.0,house,right_only
CA-46,29.68361,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.24658195000000002,0.54341805,0.0,1.0,house,right_only
CA-47,6.151937,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.36424031500000004,0.425759685,0.0,1.0,house,right_only
CA-48,-18.60836,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.4880418,0.3019582,0.0,1.0,house,right_only
CA-49,5.716237,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.366418815,0.423581185,0.0,1.0,house,right_only
CA-50,27.5448,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.25727600000000006,0.532724,0.0,1.0,house,right_only
CA-51,22.2579,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.28371050000000003,0.5062895000000001,0.0,1.0,house,right_only
CA-52,36.35247,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.21,0.21323765000000003,0.57676235,0.0,1.0,house,right_only
CO-1,55.20527,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.13897365,0.69102635,0.0,1.0,house,right_only
CO-2,32.81107,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.25094465,0.57905535,0.0,1.0,house,right_only
CO-3,-14.34963,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.48674815,0.34325184999999997,0.0,1.0,house,right_only
CO-4,-25.3082,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.5415409999999999,0.288459,0.0,1.0,house,right_only
CO-5,-17.88243,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.50441215,0.32558785,0.0,1.0,house,right_only
CO-6,16.72773,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.33136135,0.49863864999999996,0.0,1.0,house,right_only
CO-7,5.924933,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.385375335,0.444624665,0.0,1.0,house,right_only
CO-8,-2.542467,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.17,0.427712335,0.40228766499999996,0.0,1.0,house,right_only
CT-1,20.56025,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.18,0.30719875,0.51280125,0.0,1.0,house,right_only
