district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model
CA-49,5.716237,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.471418815,0.528581185,0.0,0.0,house,without_center
CA-50,27.5448,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.36227600000000004,0.637724,0.0,0.0,house,without_center
CA-51,22.2579,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3887105,0.6112895,0.0,0.0,house,without_center
CA-52,36.35247,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.31823765000000004,0.68176235,0.0,0.0,house,without_center
CO-1,55.20527,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.22397365000000002,0.77602635,0.0,0.0,house,without_center
CO-2,32.81107,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.33594464999999996,0.66405535,0.0,0.0,house,without_center
CO-3,-14.34963,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.57174815,0.42825185,0.0,0.0,house,without_center
CO-4,-25.3082,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.626541,0.373459,0.0,0.0,house,without_center
CO-5,-17.88243,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.58941215,0.41058785,0.0,0.0,house,without_center
CO-6,16.72773,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.41636134999999996,0.58363865,0.0,0.0,house,without_center
CO-7,5.924933,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.470375335,0.529624665,0.0,0.0,house,without_center
CO-8,-2.542467,Colorado,0.41,0.17,0.42,504.0,0.379,0.028,0.379,0.621,0.379,0.621,0.0,0.512712335,0.487287665,0.0,0.0,house,without_center
CT-1,20.56025,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.0,0.39719875,0.60280125,0.0,0.0,house,without_center
CT-2,2.942917,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.0,0.485285415,0.514714585,0.0,0.0,house,without_center
CT-3,11.91095,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.0,0.44044525,0.55955475,0.0,0.0,house,without_center
CT-4,23.32058,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.0,0.3833971,0.6166029,0.0,0.0,house,without_center
CT-5,2.564117,Connecticut,0.32,0.18,0.5,377.0,0.188,0.028,0.188,0.812,0.188,0.812,0.0,0.487179415,0.512820585,0.0,0.0,house,without_center
DE-1,13.92317,Delaware,0.29,0.17,0.55,301.0,0.387,0.028,0.387,0.613,0.387,0.613,0.0,0.43038414999999997,0.56961585,0.0,0.0,house,without_center
FL-1,-37.97575,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.68987875,0.31012125,0.0,0.0,house,without_center
FL-2,-16.45658,Florida,0.37,0.19,0.44,2020.0,0.288,0.028,0.288,0.712,0.288,0.712,0.0,0.5822829,0.4177171,0.0,0.0,house,without_center
