district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
CA-13,7.451671,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.462741645,0.537258355,0.0,0.0,house,without_center,None,0.17175858792939647,0.7366368318415921,0.03860782207037962,0.715560778038902,0.03954477182665756,0.8384419220961048,0.03226055989338381,0.8247912395619781,0.033321227940869586
CA-14,41.99284,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2900357999999999,0.7099642,0.0,0.0,house,without_center,None,0.15620781039051954,0.7739386969348467,0.0366637990115483,0.7455372768638432,0.03817840985915941,0.8656682834141707,0.02989070128683345,0.8590929546477324,0.030497026848587856
CA-15,54.17324,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2291338,0.7708662,0.0,0.0,house,without_center,None,0.1473073653682684,0.7731386569328467,0.036709630478663165,0.7396369818490924,0.03846537995650837,0.8493674683734187,0.03135293978043798,0.8576678833941697,0.030625423067102486
CA-16,49.6167,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2519165,0.7480835,0.0,0.0,house,without_center,None,0.15535776788839442,0.7689384469223461,0.03694712937601766,0.7432371618580929,0.03829136613293473,0.8580929046452322,0.030587239243277654,0.8626681334066704,0.030170229132822073
CA-17,45.6632,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.271684,0.728316,0.0,0.0,house,without_center,None,0.1504075203760188,0.7757887894394719,0.0365570784491516,0.7351117555877794,0.038679343621525815,0.8423921196059803,0.03193869603212102,0.8584929246462323,0.03055121643255975
CA-18,41.7609,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.2911955,0.7088045000000001,0.0,0.0,house,without_center,None,0.15560778038901946,0.772113605680284,0.03676807309106849,0.7368368418420921,0.0385983980244312,0.8462673133656683,0.03161607557756895,0.8552677633881693,0.030839317446636188
CA-19,35.66684,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.3216658,0.6783342,0.0,0.0,house,without_center,None,0.15710785539276964,0.7454122706135307,0.03818458472860394,0.7099354967748387,0.03977661368603649,0.8656932846642331,0.02988835118343538,0.8494674733736687,0.03134437552680771
CA-20,-30.45263,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.65226315,0.34773685,0.0,0.0,house,without_center,None,0.1904095204760238,0.6942847142357118,0.04038298782425091,0.6614830741537077,0.04147826972071985,0.836466823341167,0.03241890679832274,0.8071653582679134,0.03458158177411909
CA-21,16.22807,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.41885965,0.58114035,0.0,0.0,house,without_center,None,0.16970848542427122,0.740062003100155,0.038445012511347326,0.704485224261213,0.039994163139509376,0.8375418770938547,0.03233292911594889,0.8286164308215411,0.033031814510850535
CA-22,10.3146,California,0.3,0.21,0.49,3697.0,0.163,0.028,0.163,0.837,0.163,0.837,0.0,0.448427,0.551573,0.0,0.0,house,without_center,None,0.17025851292564628,0.7341617080854043,0.03872359797391265,0.7035351767588379,0.040031380083290394,0.840142007100355,0.03212288900725022,0.8378668933446672,0.032306836709441046
