district,partisan_lean (%),state_name,Republican/lean Rep.,No lean,Democrat/lean Dem.,lean sample size,firearm ownership,firearm ownership margin of error,has_gun_in_house_True,has_gun_in_house_False,is_gun_owner_True,is_gun_owner_False,political_lean_center,political_lean_right,political_lean_left,lean_sum,right_only_flag,body,model,errors_short,gun_owner_fraction_right_only,for_assault_weapon_ban_True_full_sample_mean,for_assault_weapon_ban_True_full_sample_stderr,for_large_magazine_ban_True_full_sample_mean,for_large_magazine_ban_True_full_sample_stderr,for_background_checks_True_full_sample_mean,for_background_checks_True_full_sample_stderr,for_safe_storage_laws_True_full_sample_mean,for_safe_storage_laws_True_full_sample_stderr
AR-3,-31.9002125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5795010625,0.2604989374999999,0.0,1.0,house,right_only,None,0.586367558239862,0.549137187230371,0.07524264709726924,0.5210957722174288,0.07554131503547391,0.8065142364106989,0.059735424915207114,0.7677308024158758,0.06385600184850738
AR-4,-31.9002125,Arkansas,0.46,0.16,0.38,311.0,0.518,0.028,0.518,0.482,0.518,0.482,0.16,0.5795010625,0.2604989374999999,0.0,1.0,house,right_only,None,0.586367558239862,0.549137187230371,0.07524264709726924,0.5210957722174288,0.07554131503547391,0.8065142364106989,0.059735424915207114,0.7677308024158758,0.06385600184850738
AZ-1,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-2,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-3,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-4,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-5,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-6,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-7,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
AZ-8,-3.824957222222222,Arizona,0.4,0.21,0.39,653.0,0.36,0.028,0.36,0.64,0.36,0.64,0.21,0.4141247861111111,0.3758752138888889,0.0,1.0,house,right_only,None,0.4519439748852934,0.5759478386863076,0.07473131898073941,0.5324800772760203,0.07544894533876945,0.8104926346293166,0.05926373431672153,0.778072929244144,0.06283718537373784
